,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
30,7,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995481801975238,0.9525524706981815,0.9450414557984279,8,9
31,8,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994352252469048,0.9522409563490518,0.9448476364811026,10,11
32,9,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995039804342382,0.9524551224640785,0.9451922041563476,11,12
33,10,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995629134519524,0.9522214867022312,0.9441369656509099,5,6
34,11,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995580023671429,0.952279895642693,0.9443953914073436,2,3
35,12,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995923799608095,0.95154004906351,0.9432755464627974,2,3
36,13,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996365797240953,0.9517542151785366,0.9429525142672553,0,1
37,14,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995972910456191,0.9508196721311475,0.9431463335845806,2,3
38,15,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995825577911905,0.9504692184883766,0.9426294820717132,7,8
39,16,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995580023671429,0.9493983879132433,0.9413804242489502,4,5
40,17,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994646917557619,0.9481328608699038,0.9392053407989663,4,5
41,18,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994696028405714,0.9468868034733849,0.9382362442123399,0,1
42,19,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995236247734762,0.9463611230092286,0.9374825024227414,3,4
43,20,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9991896710064286,0.9424866632919279,0.9329815871648541,1,2
44,21,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9953442916005717,0.9322066897706476,0.9238074728114569,0,1
45,22,szegedai-semantics,tough-glitter-258,xcdd1rof,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9520481679198118,0.9015614656750126,0.8983094648433294,0,1
46,0,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9953344694309526,0.951442700829407,0.9455798427909982,14,15
47,1,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9985561410660001,0.9528445154004906,0.9453644879939701,15,16
48,2,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9984382750305715,0.9525719403450021,0.9446753526434801,12,13
49,3,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9988851837482382,0.9528445154004906,0.9453429525142673,2,3
50,4,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994597806709524,0.95282504575367,0.9453644879939701,4,5
51,5,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9993370035507143,0.9528445154004906,0.9450845267578335,1,2
52,6,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999165115582381,0.952727697519567,0.9457736621083235,8,9
53,7,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9993320924659048,0.9523383045831548,0.9438139334553677,11,12
54,8,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995285358582857,0.9525524706981815,0.9447830300419942,13,14
55,9,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995530912823334,0.952630349285464,0.9447184236028857,13,14
56,10,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996856905721905,0.9523577742299755,0.9443307849682352,1,2
57,11,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996709573177619,0.9522604259958725,0.9443953914073436,4,5
58,12,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996414908089047,0.9518126241189985,0.9441369656509099,9,10
59,13,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996660462329524,0.9515595187103306,0.9429955852266609,9,10
60,14,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9997298903354762,0.9522020170554106,0.9436201141380425,3,4
61,15,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996414908089047,0.951442700829407,0.9429094433078496,1,2
62,16,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996709573177619,0.950449748841556,0.9418111338430063,6,7
63,17,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995481801975238,0.9497877808496554,0.9406697534187574,4,5
64,18,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995383580279048,0.9477045286398504,0.9387100247658017,4,5
65,19,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996071132152381,0.9458743818387134,0.9363195865187897,1,2
66,20,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9991160047342857,0.9430512830497255,0.9322709163346613,1,2
67,21,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9957813781486192,0.9351466064405591,0.9273823624421234,0,1
68,22,szegedai-semantics,rosy-aardvark-257,fu43r1rk,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9533987162424308,0.9016004049686539,0.896995800581458,0,1
69,0,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9944111854867622,0.9515984580039718,0.9446107462043717,4,5
70,1,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.997505168916762,0.9515205794166893,0.9452137396360504,12,13
71,2,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994597806709524,0.952279895642693,0.944912242920211,5,6
72,3,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9988950059178572,0.951890502706281,0.9452137396360504,13,14
73,4,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9991602044975715,0.9526108796386433,0.9450414557984279,17,18
74,5,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9993320924659048,0.9523772438767961,0.945601378270701,12,13
75,6,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994696028405714,0.951987850940384,0.9447399590825886,2,3
76,7,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995580023671429,0.9526108796386433,0.9451922041563476,14,15
77,8,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996611351481429,0.9530197422218761,0.9451275977172392,10,11
78,9,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995383580279048,0.9532144386900822,0.9437493270162592,13,14
79,10,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994548695861429,0.9529418636345937,0.9437708624959621,1,2
80,11,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996758684025715,0.9524551224640785,0.9446538171637773,10,11
81,12,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995481801975238,0.9523772438767961,0.942651017551416,0,1
82,13,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996365797240953,0.9517931544721778,0.9424571982340907,6,7
83,14,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994597806709524,0.951890502706281,0.9423279853558738,1,2
84,15,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996365797240953,0.9514037615357658,0.9421341660385485,1,2
85,16,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995825577911905,0.9500019469646821,0.941165069451922,5,6
86,17,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995187136886667,0.9499824773178615,0.940368256702918,5,6
87,18,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995923799608095,0.9490089949768311,0.9402175083449984,1,2
88,19,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995088915190476,0.9470620302947704,0.9375471088618499,2,3
