,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
28,5,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9981846844694979,0.958194879584797,0.9244951420897304,0,1
29,6,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9983049093962135,0.9572233120293615,0.9279728651237031,16,17
30,7,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989492119089317,0.9548065391655621,0.9233419465977606,4,5
31,8,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989412261079311,0.9545858739837398,0.9219546317577695,0,1
32,9,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989889420512535,0.953433857070451,0.9249185342821041,12,13
33,10,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993949911636867,0.9527978682908261,0.919311816484396,0,1
34,11,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989968152866242,0.9496585675718596,0.9165610618288536,6,7
35,12,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9988696067505173,0.9482380604365925,0.9173705471905985,10,11
36,13,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991879498121138,0.9467534529290363,0.9175137477087152,2,3
37,14,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.99941087493034,0.9439121883129244,0.9116697186615615,1,2
38,15,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.999315319331879,0.941266160541279,0.9129535752401281,7,8
39,16,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.99919586627495,0.9378797035529121,0.9082461476752348,2,3
40,17,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9994188221993997,0.9303841529017151,0.90265604249668,5,6
41,18,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993074075548303,0.9246036778693724,0.890857806537249,1,2
42,19,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993869963617837,0.9208509555760487,0.885622875424915,2,3
43,20,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9984717756057181,0.903219684989563,0.8701500944302708,2,3
44,21,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9942053177536664,0.8726364383734903,0.8321414382201032,0,1
45,22,szegedai-semantics,olive-snowflake-169,7zitpkr8,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.927647379038714,0.772861548449927,0.7286413248024086,0,1
46,0,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9804103364136786,0.9388734474072787,0.9288397984443524,22,23
47,1,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9948844564041391,0.939295945828631,0.9283920229065153,19,20
48,2,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9978442356192205,0.941784690242419,0.9285175879396984,20,21
49,3,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9986517976031958,0.9405406578618944,0.9290312864726479,0,1
50,4,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9985991250773256,0.9399965303378583,0.9281362052105012,17,18
51,5,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9988986570273727,0.9401692708333332,0.9290507067337239,16,17
52,6,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9993120398573038,0.9403885813524367,0.9287847230935233,7,8
53,7,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9989153862584155,0.9404232230059684,0.9287433557316217,15,16
54,8,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995533918639649,0.9407908304479491,0.9294932958368904,13,14
55,9,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999439639149805,0.9413029082579764,0.9293469392878212,10,11
56,10,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999384154460719,0.9406287642839315,0.9274096385542169,12,13
57,11,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994646101779546,0.9414815698955067,0.9277814739960584,11,12
58,12,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9996088733054644,0.9410386821814711,0.9292574667101335,5,6
59,13,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995533844305929,0.9400765718376157,0.9267889149317523,1,2
60,14,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999644921827321,0.9396254258989994,0.9266450916936354,1,2
61,15,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9996338215712384,0.9402520160196229,0.9269082149846942,2,3
62,16,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995450687112685,0.9394560701229103,0.9261134364269781,1,2
63,17,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995561522841513,0.9374627108531757,0.924180122354829,2,3
64,18,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9991788953923826,0.9349485922519629,0.921351131165006,4,5
65,19,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9992953995694724,0.9311855949669161,0.9182744744067095,0,1
66,20,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9985102989111588,0.9273614575425659,0.9138996477769838,0,1
67,21,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9950606395930922,0.9205145154473834,0.9058526083909083,1,2
